Date,Price,Open,High,Low,Vol.,Change %
2022-05-13,116.1,116.15,116.2,116.1,0.03K,0.0004
2022-05-12,116.05,116.075,116.15,116.075,0.03K,0.0004
2022-05-11,116.0,116.025,116.15,115.9,0.04K,0.0004
2022-05-10,115.95,115.95,116.1,115.75,0.05K,0.0004
2022-05-09,115.9,115.9,116.06,115.75,0.04K,0.0004
2022-05-06,115.85,115.9,116.0,115.8,0.04K,0.0009
2022-05-05,115.75,115.85,116.0,115.55,0.05K,0.0
2022-05-04,115.75,115.8,115.9,115.65,0.04K,0.0004
2022-04-28,115.7,115.8,115.85,115.55,0.03K,0.0004
2022-04-27,115.65,115.75,115.8,115.7,0.03K,0.0
2022-04-26,115.65,115.675,115.75,115.35,0.04K,0.0004
2022-04-25,115.6,115.675,115.75,115.5,0.05K,0.0
2022-04-22,115.6,115.6,115.7,115.5,0.05K,0.0009
2022-04-21,115.5,115.55,115.65,115.35,0.04K,0.0004
2022-04-20,115.45,115.5,115.55,115.425,0.03K,0.0013
2022-04-19,115.3,115.2,115.55,115.2,0.03K,-0.0009
2023-05-12,136.9,136.9,137.05,136.65,,0.0007
2023-05-11,136.8,136.7,136.95,136.7,,0.0011
2023-05-10,136.65,136.6,136.85,136.55,,0.0004
2023-05-09,136.6,136.6,136.8,136.55,,0.0007
2023-05-08,136.5,136.45,136.65,136.35,,0.0011
2023-05-05,136.35,136.1,136.65,136.1,,0.0
2023-05-04,136.35,136.2,136.45,136.1,,0.0018
2023-05-03,136.1,136.15,136.3,135.85,,0.0004
2023-05-02,136.05,135.975,136.3,135.85,,0.0011
2023-04-28,135.9,135.9,136.1,135.6,,0.0007
2023-04-27,135.8,135.825,136.05,135.6,,0.0004
2023-04-26,135.75,135.625,135.9,135.55,,0.0011
2023-04-25,135.6,135.45,135.7,135.4,,0.0018
2023-04-24,135.35,135.3,135.6,135.1,,0.0007
2023-04-20,135.25,135.25,135.4,135.05,,0.0011
2023-04-19,135.1,134.9,135.3,134.7,,0.0015
2023-04-18,134.9,134.725,135.05,134.5,,0.0019
2023-04-17,134.65,134.5,134.8,134.475,,0.0015
2023-01-13,123.75,123.8,124.1,123.775,0.05K,0.0004
2023-01-12,123.7,123.65,123.9,123.6,0.05K,-0.0004
2023-01-11,123.75,123.6,123.85,123.6,0.04K,0.0012
2023-01-10,123.6,123.6,123.8,123.4,0.06K,0.0004
2023-01-09,123.55,123.55,123.75,123.5,0.04K,0.0008
2023-01-06,123.45,123.525,123.65,123.45,0.04K,-0.0004
2023-01-05,123.5,123.55,123.6,123.2,0.04K,0.0016
2023-01-04,123.3,123.4,123.55,123.4,0.04K,-0.0008
2023-01-03,123.4,123.4,123.5,123.05,0.03K,0.0008
2022-12-30,123.3,123.35,123.5,123.25,0.04K,0.0
2022-12-29,123.3,123.25,123.45,123.2,0.04K,0.0012
2022-12-28,123.15,123.1,123.4,123.1,0.05K,0.0
2022-12-23,123.15,123.25,123.35,123.1,0.04K,0.0012
2022-12-22,123.0,123.15,123.3,123.1,0.04K,-0.0004
2022-12-21,123.05,123.15,123.25,122.9,0.04K,-0.0004
2022-12-20,123.1,123.05,123.2,123.05,0.04K,0.0008
2022-12-19,123.0,123.0,123.15,122.95,0.06K,0.0004
2022-12-16,122.95,122.95,123.1,122.9,0.04K,0.0004
2022-12-15,122.9,122.95,123.05,122.85,0.03K,0.0012
2023-03-14,129.4,129.5,129.9,129.25,,0.0
2023-03-13,129.4,129.3,129.8,128.9,,-0.0008
2023-03-10,129.5,128.8,129.7,128.7,,0.0074
2023-03-09,128.55,128.3,129.2,128.3,,0.0019
2023-03-08,128.3,128.6,128.8,128.1,,-0.0004
2023-03-07,128.35,128.0,128.6,127.8,,0.0027
2023-03-06,128.0,127.8,128.4,127.5,,0.0039
2023-03-03,127.5,127.25,128.0,127.1,,0.0016
