Price Period,Town,Super,Diesel,Kerosene
May 15th 2022 - June 14th 2022,Mombasa,147.86,128.76,116.69000000000001
May 15th 2022 - June 14th 2022,Kilifi,148.57,129.47,117.41000000000001
May 15th 2022 - June 14th 2022,Likoni Mainland,148.22,129.11,117.05000000000001
May 15th 2022 - June 14th 2022,Kwale,148.22,129.11,117.05000000000001
May 15th 2022 - June 14th 2022,Malindi,148.78,129.67000000000002,117.61
May 15th 2022 - June 14th 2022,Lungalunga,148.93,129.83,117.76
May 15th 2022 - June 14th 2022,Voi,149.34,130.24,118.17
May 15th 2022 - June 14th 2022,Taveta,150.75,131.64,119.58000000000001
May 15th 2022 - June 14th 2022,Lamu,151.16,132.06,120.0
May 15th 2022 - June 14th 2022,Hola,151.45000000000002,132.34,120.28
May 15th 2022 - June 14th 2022,Mpeketoni,151.16,132.06,120.0
May 15th 2022 - June 14th 2022,Minjila,150.13,131.02,118.96000000000001
May 15th 2022 - June 14th 2022,Garsen,150.22,131.11,119.05000000000001
May 15th 2022 - June 14th 2022,Samburu,148.16,129.06,117.0
May 15th 2022 - June 14th 2022,Taru,148.34,129.24,117.18
May 15th 2022 - June 14th 2022,Mwatate,149.68,130.57,118.51
May 15th 2022 - June 14th 2022,Wundanji,149.84,130.74,118.68
May 15th 2022 - June 14th 2022,Kaloleni,148.01000000000002,128.92000000000002,116.85000000000001
May 15th 2022 - June 14th 2022,Marereni,149.44,130.34,118.27000000000001
May 15th 2022 - June 14th 2022,Nairobi,150.12,131.0,118.94000000000001
May 15th 2022 - June 14th 2022,Thika,150.12,131.01,118.94000000000001
May 15th 2022 - June 14th 2022,Machakos,150.36,131.24,119.18
May 15th 2022 - June 14th 2022,Kajiado,150.54,131.42000000000002,119.36
May 15th 2022 - June 14th 2022,Makuyu,150.41,131.29000000000002,119.23
May 15th 2022 - June 14th 2022,Muranga,150.64000000000001,131.52,119.46000000000001
May 15th 2022 - June 14th 2022,Sagana,150.85,131.75,119.68
May 15th 2022 - June 14th 2022,Embu,151.22,132.10000000000002,120.04
May 15th 2022 - June 14th 2022,Kerugoya,151.14000000000001,132.03,119.97
May 15th 2022 - June 14th 2022,Narok,151.5,132.4,120.33000000000001
May 15th 2022 - June 14th 2022,Nyeri,151.49,132.37,120.31
May 15th 2022 - June 14th 2022,Namanga,151.66,132.55,120.48
May 15th 2022 - June 14th 2022,Kiganjo,151.46,132.34,120.28
May 15th 2022 - June 14th 2022,Chuka,151.75,132.63,120.57000000000001
May 15th 2022 - June 14th 2022,Kitui,151.65,132.54000000000002,120.47
May 15th 2022 - June 14th 2022,Mwingi,152.03,132.93,120.86
May 15th 2022 - June 14th 2022,Nanyuki,152.05,132.94,120.87
May 15th 2022 - June 14th 2022,Nkubu,153.01000000000002,133.91,121.84
May 15th 2022 - June 14th 2022,Mtito Andei,152.55,133.44,121.38000000000001
May 15th 2022 - June 14th 2022,Meru,153.21,134.1,122.04
May 15th 2022 - June 14th 2022,Isiolo,153.07,133.96,121.89
May 15th 2022 - June 14th 2022,Maua,153.66,134.56,122.49000000000001
May 15th 2022 - June 14th 2022,Garissa,154.29,135.17,123.11
May 15th 2022 - June 14th 2022,Marsabit,157.97,138.85,126.79
May 15th 2022 - June 14th 2022,Liboi,157.05,137.94,125.87
May 15th 2022 - June 14th 2022,Moyale,159.55,140.44,128.37
May 15th 2022 - June 14th 2022,Sololo,158.61,139.49,127.43
May 15th 2022 - June 14th 2022,Habaswein,156.98000000000002,137.85999999999999,125.80000000000001
May 15th 2022 - June 14th 2022,Dadaab,155.67000000000002,136.55,124.49000000000001
May 15th 2022 - June 14th 2022,Tarbaj,159.22,140.12,128.04000000000002
May 15th 2022 - June 14th 2022,Elwak,160.83,141.72,129.65
May 15th 2022 - June 14th 2022,Wajir,159.38,140.27,128.21
May 15th 2022 - June 14th 2022,Modogashe,157.12,138.0,125.94000000000001
May 15th 2022 - June 14th 2022,Mandera,163.15,144.05,131.98000000000002
May 15th 2022 - June 14th 2022,Matuu,151.02,131.9,119.84
May 15th 2022 - June 14th 2022,Merti,155.46,136.35,124.29
May 15th 2022 - June 14th 2022,Oldonyiro,152.47,133.36,121.29
May 15th 2022 - June 14th 2022,Eldas,161.16,142.04,129.98000000000002
May 15th 2022 - June 14th 2022,Bute,158.19,139.08,127.02000000000001
May 15th 2022 - June 14th 2022,Hadado,156.78,137.67,125.60000000000001
May 15th 2022 - June 14th 2022,Mai Mahiu,150.24,131.12,119.06
May 15th 2022 - June 14th 2022,Doldo,152.81,133.7,121.63000000000001
May 15th 2022 - June 14th 2022,Lamuria,151.93,132.82,120.75
May 15th 2022 - June 14th 2022,Rumuruti,152.63,133.52,121.46000000000001
May 15th 2022 - June 14th 2022,Sipili,152.8,133.68,121.62
